ReadID	SampleName	SampleID	ReadLength	ReadAvgQualScore
GSXD9VZ02JKGVQ	10_D_B02_2010_12_17_2	10_D_B02	276	30
GSXD9VZ02HYHKG	10_D_B02_2010_12_17_2	10_D_B02	493	37
GSXD9VZ02JAFO0	10_D_B02_2010_12_17_2	10_D_B02	514	37
GSXD9VZ02GUKU3	10_D_B02_2010_12_17_2	10_D_B02	511	33
GSXD9VZ02FZMVN	10_D_B02_2010_12_17_2	10_D_B02	495	37
GSXD9VZ02IIL6L	10_D_B02_2010_12_17_2	10_D_B02	247	27
GSXD9VZ02JT2UV	10_D_B02_2010_12_17_2	10_D_B02	507	35
GSXD9VZ02IRS9R	10_D_B02_2010_12_17_2	10_D_B02	495	36
GSXD9VZ02H3VI9	10_D_B02_2010_12_17_2	10_D_B02	482	36
GSXD9VZ02GJT4L	10_D_B02_2010_12_17_2	10_D_B02	511	36
GSXD9VZ02JOD4H	10_D_B02_2010_12_17_2	10_D_B02	513	36
GSXD9VZ02G30OI	10_D_B02_2010_12_17_2	10_D_B02	515	36
GSXD9VZ02J1KWQ	10_D_B02_2010_12_17_2	10_D_B02	506	34
GSXD9VZ02F7MT7	10_D_B02_2010_12_17_2	10_D_B02	494	37
GSXD9VZ02IWGUV	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02GNPUK	10_D_B02_2010_12_17_2	10_D_B02	506	36
GSXD9VZ02H5AB6	10_D_B02_2010_12_17_2	10_D_B02	493	33
GSXD9VZ02H3H62	10_D_B02_2010_12_17_2	10_D_B02	486	37
GSXD9VZ02H3JIS	10_D_B02_2010_12_17_2	10_D_B02	505	33
GSXD9VZ02JULVC	10_D_B02_2010_12_17_2	10_D_B02	503	36
GSXD9VZ02G3CE0	10_D_B02_2010_12_17_2	10_D_B02	486	29
GSXD9VZ02HH9YP	10_D_B02_2010_12_17_2	10_D_B02	513	35
GSXD9VZ02IBT1D	10_D_B02_2010_12_17_2	10_D_B02	513	36
GSXD9VZ02GX53R	10_D_B02_2010_12_17_2	10_D_B02	504	36
GSXD9VZ02HR1GQ	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02GE1OX	10_D_B02_2010_12_17_2	10_D_B02	481	37
GSXD9VZ02G2AQH	10_D_B02_2010_12_17_2	10_D_B02	510	35
GSXD9VZ02IL797	10_D_B02_2010_12_17_2	10_D_B02	482	35
GSXD9VZ02F6S7Y	10_D_B02_2010_12_17_2	10_D_B02	471	34
GSXD9VZ02JGNN3	10_D_B02_2010_12_17_2	10_D_B02	205	30
GSXD9VZ02F34JQ	10_D_B02_2010_12_17_2	10_D_B02	476	30
GSXD9VZ02HOIHZ	10_D_B02_2010_12_17_2	10_D_B02	496	35
GSXD9VZ02G7DFP	10_D_B02_2010_12_17_2	10_D_B02	511	36
GSXD9VZ02JEUL2	10_D_B02_2010_12_17_2	10_D_B02	511	37
GSXD9VZ02JX2LS	10_D_B02_2010_12_17_2	10_D_B02	511	37
GSXD9VZ02GSVS0	10_D_B02_2010_12_17_2	10_D_B02	500	35
GSXD9VZ02G3B1R	10_D_B02_2010_12_17_2	10_D_B02	511	36
GSXD9VZ02JU1RT	10_D_B02_2010_12_17_2	10_D_B02	490	37
GSXD9VZ02F137Z	10_D_B02_2010_12_17_2	10_D_B02	516	35
GSXD9VZ02GFNJI	10_D_B02_2010_12_17_2	10_D_B02	533	36
GSXD9VZ02JW9DA	10_D_B02_2010_12_17_2	10_D_B02	494	36
GSXD9VZ02HCTXE	10_D_B02_2010_12_17_2	10_D_B02	484	36
GSXD9VZ02GVPGJ	10_D_B02_2010_12_17_2	10_D_B02	492	36
GSXD9VZ02GUNOF	10_D_B02_2010_12_17_2	10_D_B02	513	34
GSXD9VZ02FS3SI	10_D_B02_2010_12_17_2	10_D_B02	492	35
GSXD9VZ02JHFW4	10_D_B02_2010_12_17_2	10_D_B02	471	37
GSXD9VZ02GMJRJ	10_D_B02_2010_12_17_2	10_D_B02	495	36
GSXD9VZ02J5OBS	10_D_B02_2010_12_17_2	10_D_B02	390	29
GSXD9VZ02IK7ZJ	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02IYG2T	10_D_B02_2010_12_17_2	10_D_B02	511	36
GSXD9VZ02HNSKQ	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02INZSU	10_D_B02_2010_12_17_2	10_D_B02	482	37
GSXD9VZ02IQEBN	10_D_B02_2010_12_17_2	10_D_B02	380	34
GSXD9VZ02GNS33	10_D_B02_2010_12_17_2	10_D_B02	538	36
GSXD9VZ02G8EP4	10_D_B02_2010_12_17_2	10_D_B02	484	36
GSXD9VZ02GOX0S	10_D_B02_2010_12_17_2	10_D_B02	520	35
GSXD9VZ02H13HA	10_D_B02_2010_12_17_2	10_D_B02	467	33
GSXD9VZ02IL8RQ	10_D_B02_2010_12_17_2	10_D_B02	506	30
GSXD9VZ02H9DEY	10_D_B02_2010_12_17_2	10_D_B02	513	36
GSXD9VZ02GD2J3	10_D_B02_2010_12_17_2	10_D_B02	490	35
GSXD9VZ02HQ8ND	10_D_B02_2010_12_17_2	10_D_B02	478	36
GSXD9VZ02HCHSE	10_D_B02_2010_12_17_2	10_D_B02	490	36
GSXD9VZ02JWQGT	10_D_B02_2010_12_17_2	10_D_B02	333	29
GSXD9VZ02IJ6UG	10_D_B02_2010_12_17_2	10_D_B02	534	37
GSXD9VZ02H10L4	10_D_B02_2010_12_17_2	10_D_B02	526	35
GSXD9VZ02G4IHI	10_D_B02_2010_12_17_2	10_D_B02	539	34
GSXD9VZ02GLY3O	10_D_B02_2010_12_17_2	10_D_B02	512	35
GSXD9VZ02GJN9I	10_D_B02_2010_12_17_2	10_D_B02	496	36
GSXD9VZ02HUMWS	10_D_B02_2010_12_17_2	10_D_B02	385	36
GSXD9VZ02GKOD5	10_D_B02_2010_12_17_2	10_D_B02	516	35
GSXD9VZ02I37M4	10_D_B02_2010_12_17_2	10_D_B02	518	36
GSXD9VZ02HOQUB	10_D_B02_2010_12_17_2	10_D_B02	514	35
GSXD9VZ02HC9R4	10_D_B02_2010_12_17_2	10_D_B02	480	37
GSXD9VZ02FXEM0	10_D_B02_2010_12_17_2	10_D_B02	408	33
GSXD9VZ02GP8L0	10_D_B02_2010_12_17_2	10_D_B02	502	36
GSXD9VZ02G1NC8	10_D_B02_2010_12_17_2	10_D_B02	493	35
GSXD9VZ02I7GGC	10_D_B02_2010_12_17_2	10_D_B02	249	32
GSXD9VZ02IFM54	10_D_B02_2010_12_17_2	10_D_B02	495	36
GSXD9VZ02FLF4J	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02FW5YR	10_D_B02_2010_12_17_2	10_D_B02	503	36
GSXD9VZ02G6K70	10_D_B02_2010_12_17_2	10_D_B02	464	37
GSXD9VZ02GEVW6	10_D_B02_2010_12_17_2	10_D_B02	479	36
GSXD9VZ02HO3FN	10_D_B02_2010_12_17_2	10_D_B02	480	37
